date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:55	31/31	U--M--	200	updated ('OK')	text/html	date:Fri,%2009%20Dec%202022%2003:06:54%20GMT	https://www.makerbean.com/robots.txt		(from )
11:06:55	34031/34031	U--M--	200	updated ('OK')	text/html	date:Fri,%2009%20Dec%202022%2003:06:55%20GMT	https://www.makerbean.com/	www.makerbean.com/index.html	(from )
11:06:56	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%225dfdf50d-10be%22	https://www.makerbean.com/static/images/favicon.ico	www.makerbean.com/static/images/favicon.ico	(from https://www.makerbean.com/)
11:06:57	15526/15526	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-3ca6%22	https://www.makerbean.com/static/images/base/logo.png	www.makerbean.com/static/images/base/logo.png	(from https://www.makerbean.com/)
11:06:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Dec%202022%2003:06:58%20GMT	https://www.makerbean.com/online_courses	www.makerbean.com/online_courses	(from https://www.makerbean.com/)
11:06:59	122/122	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-7a%22	https://www.makerbean.com/static/images/revolution/transparent.png	www.makerbean.com/static/images/revolution/transparent.png	(from https://www.makerbean.com/)
11:07:00	39707/39707	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-9b1b%22	https://www.makerbean.com/static/images/revolution/aeroland-slider-software-slide-01-shape-01.png	www.makerbean.com/static/images/revolution/aeroland-slider-software-slide-01-shape-01.png	(from https://www.makerbean.com/)
11:07:01	59507/59507	U-----	200	untouched ('OK')	text/css	etag:%225dfdb6da-e873%22	https://www.makerbean.com/static/css/revolution/rs6.css	www.makerbean.com/static/css/revolution/rs6.css	(from https://www.makerbean.com/)
11:07:01	123186/123186	U-----	200	untouched ('OK')	text/css	etag:%225dfdb6da-1e132%22	https://www.makerbean.com/static/css/plugins/plugins.min.css	www.makerbean.com/static/css/plugins/plugins.min.css	(from https://www.makerbean.com/)
11:07:01	26348/26348	U--M--	200	updated ('OK')	text/html	date:Fri,%2009%20Dec%202022%2003:07:01%20GMT	https://www.makerbean.com/online_courses/	www.makerbean.com/online_courses/index.html	(from https://www.makerbean.com/)
11:07:01	46728/46728	U--M--	200	updated ('OK')	text/html	date:Fri,%2009%20Dec%202022%2003:07:01%20GMT	https://www.makerbean.com/python_online	www.makerbean.com/python_online.html	(from https://www.makerbean.com/)
11:07:02	33457/33457	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-82b1%22	https://www.makerbean.com/static/images/revolution/slider-software-slide-01-image-01.png	www.makerbean.com/static/images/revolution/slider-software-slide-01-image-01.png	(from https://www.makerbean.com/)
11:07:03	62313/62313	------	200	untouched ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:17%20GMT	https://www.makerbean.com/python_blockly_online	www.makerbean.com/python_blockly_online.html	(from https://www.makerbean.com/)
11:07:03	45697/45697	------	200	untouched ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:18%20GMT	https://www.makerbean.com/pinoblock_p5js	www.makerbean.com/pinoblock_p5js.html	(from https://www.makerbean.com/)
11:07:03	27162/27162	------	200	untouched ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:19%20GMT	https://www.makerbean.com/about	www.makerbean.com/about.html	(from https://www.makerbean.com/)
11:07:03	1765/1765	------	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:32%20GMT	https://www.makerbean.com/index.html	www.makerbean.com/index-2.html	(from https://www.makerbean.com/)
11:07:03	1765/1765	------	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:33%20GMT	https://www.makerbean.com/online_course	www.makerbean.com/online_course.html	(from https://www.makerbean.com/)
11:07:03	13691/13691	------	200	untouched ('OK')	image/svg+xml	etag:%225dfdb6da-357b%22	https://www.makerbean.com/static/fonts/revicons/revicons.svg?5510888	www.makerbean.com/static/fonts/revicons/revicons90c6-4.html	(from https://www.makerbean.com/static/css/revolution/rs6.css)
11:07:03	178/178	------	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:38%20GMT	https://www.makerbean.com/static/css/revolution/openhand.cur	www.makerbean.com/static/css/revolution/openhand.html	(from https://www.makerbean.com/static/css/revolution/rs6.css)
11:07:03	178/178	------	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:39%20GMT	https://www.makerbean.com/static/css/revolution/closedhand.cur	www.makerbean.com/static/css/revolution/closedhand.html	(from https://www.makerbean.com/static/css/revolution/rs6.css)
11:07:03	178/178	------	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:40%20GMT	https://www.makerbean.com/static/css/assets/gridtile.png	www.makerbean.com/static/css/assets/gridtile.html	(from https://www.makerbean.com/static/css/revolution/rs6.css)
11:07:03	178/178	------	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:41%20GMT	https://www.makerbean.com/static/css/assets/gridtile_white.png	www.makerbean.com/static/css/assets/gridtile_white.html	(from https://www.makerbean.com/static/css/revolution/rs6.css)
