date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:12	34000/34000	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:11%20GMT	https://www.makerbean.com/	/root/websites/makerbean/www.makerbean.com/index.html	(from )
14:25:12	31/31	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:10%20GMT	https://www.makerbean.com/robots.txt		(from )
14:25:12	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%225dfdf50d-10be%22	https://www.makerbean.com/static/images/favicon.ico	/root/websites/makerbean/www.makerbean.com/static/images/favicon.ico	(from https://www.makerbean.com/)
14:25:13	59507/59507	---M--	200	added ('OK')	text/css	etag:%225dfdb6da-e873%22	https://www.makerbean.com/static/css/revolution/rs6.css	/root/websites/makerbean/www.makerbean.com/static/css/revolution/rs6.css	(from https://www.makerbean.com/)
14:25:14	123186/123186	---M--	200	added ('OK')	text/css	etag:%225dfdb6da-1e132%22	https://www.makerbean.com/static/css/plugins/plugins.min.css	/root/websites/makerbean/www.makerbean.com/static/css/plugins/plugins.min.css	(from https://www.makerbean.com/)
14:25:15	15526/15526	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-3ca6%22	https://www.makerbean.com/static/images/base/logo.png	/root/websites/makerbean/www.makerbean.com/static/images/base/logo.png	(from https://www.makerbean.com/)
14:25:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Oct%202021%2006:25:15%20GMT	https://www.makerbean.com/online_courses	/root/websites/makerbean/www.makerbean.com/online_courses	(from https://www.makerbean.com/)
14:25:17	46728/46728	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:16%20GMT	https://www.makerbean.com/python_online	/root/websites/makerbean/www.makerbean.com/python_online.html	(from https://www.makerbean.com/)
14:25:17	26317/26317	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:16%20GMT	https://www.makerbean.com/online_courses/	/root/websites/makerbean/www.makerbean.com/online_courses/index.html	(from https://www.makerbean.com/)
14:25:18	62313/62313	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:17%20GMT	https://www.makerbean.com/python_blockly_online	/root/websites/makerbean/www.makerbean.com/python_blockly_online.html	(from https://www.makerbean.com/)
14:25:19	45697/45697	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:18%20GMT	https://www.makerbean.com/pinoblock_p5js	/root/websites/makerbean/www.makerbean.com/pinoblock_p5js.html	(from https://www.makerbean.com/)
14:25:20	27162/27162	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Oct%202021%2006:25:19%20GMT	https://www.makerbean.com/about	/root/websites/makerbean/www.makerbean.com/about.html	(from https://www.makerbean.com/)
14:25:21	122/122	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-7a%22	https://www.makerbean.com/static/images/revolution/transparent.png	/root/websites/makerbean/www.makerbean.com/static/images/revolution/transparent.png	(from https://www.makerbean.com/)
14:25:22	39707/39707	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-9b1b%22	https://www.makerbean.com/static/images/revolution/aeroland-slider-software-slide-01-shape-01.png	/root/websites/makerbean/www.makerbean.com/static/images/revolution/aeroland-slider-software-slide-01-shape-01.png	(from https://www.makerbean.com/)
14:25:23	33457/33457	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-82b1%22	https://www.makerbean.com/static/images/revolution/slider-software-slide-01-image-01.png	/root/websites/makerbean/www.makerbean.com/static/images/revolution/slider-software-slide-01-image-01.png	(from https://www.makerbean.com/)
14:25:24	92713/92713	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-16a29%22	https://www.makerbean.com/static/images/revolution/slider-software-slide-02-image-01.png	/root/websites/makerbean/www.makerbean.com/static/images/revolution/slider-software-slide-02-image-01.png	(from https://www.makerbean.com/)
14:25:25	60691/60691	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-ed13%22	https://www.makerbean.com/static/images/revolution/slider-software-slide-03-image-01.png	/root/websites/makerbean/www.makerbean.com/static/images/revolution/slider-software-slide-03-image-01.png	(from https://www.makerbean.com/)
14:25:26	41318/41318	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-a166%22	https://www.makerbean.com/static/images/features/aeroland-branding-image-10.png	/root/websites/makerbean/www.makerbean.com/static/images/features/aeroland-branding-image-10.png	(from https://www.makerbean.com/)
14:25:27	2945/2945	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-b81%22	https://www.makerbean.com/static/images/icons/aeroland-branding-box-image-03-1.png	/root/websites/makerbean/www.makerbean.com/static/images/icons/aeroland-branding-box-image-03-1.png	(from https://www.makerbean.com/)
14:25:28	2844/2844	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-b1c%22	https://www.makerbean.com/static/images/icons/aeroland-branding-box-image-02-1.png	/root/websites/makerbean/www.makerbean.com/static/images/icons/aeroland-branding-box-image-02-1.png	(from https://www.makerbean.com/)
14:25:29	2972/2972	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-b9c%22	https://www.makerbean.com/static/images/icons/aeroland-branding-box-image-01-1.png	/root/websites/makerbean/www.makerbean.com/static/images/icons/aeroland-branding-box-image-01-1.png	(from https://www.makerbean.com/)
14:25:30	47532/47532	---M--	200	added ('OK')	image/jpeg	etag:%225dfdb6da-b9ac%22	https://www.makerbean.com/static/images/index/index_thu_maker_teachers.jpg	/root/websites/makerbean/www.makerbean.com/static/images/index/index_thu_maker_teachers.jpg	(from https://www.makerbean.com/)
14:25:31	42018/42018	---M--	200	added ('OK')	image/png	etag:%225dfdb6da-a422%22	https://www.makerbean.com/static/images/features/aeroland-software-image-06.png	/root/websites/makerbean/www.makerbean.com/static/images/features/aeroland-software-image-06.png	(from https://www.makerbean.com/)
14:25:32	6492/6492	---M--	200	added ('OK')	image/jpeg	etag:%225dfdb6da-195c%22	https://www.makerbean.com/static/images/base/weixin_qrcode.jpg	/root/websites/makerbean/www.makerbean.com/static/images/base/weixin_qrcode.jpg	(from https://www.makerbean.com/)
14:25:33	1765/1765	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:32%20GMT	https://www.makerbean.com/index.html	/root/websites/makerbean/www.makerbean.com/index-2.html	(from https://www.makerbean.com/)
14:25:34	1765/1765	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:33%20GMT	https://www.makerbean.com/online_course	/root/websites/makerbean/www.makerbean.com/online_course	(from https://www.makerbean.com/)
14:25:35	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225dfdb6da-2f68%22	https://www.makerbean.com/static/fonts/revicons/revicons.eot?5510888	/root/websites/makerbean/www.makerbean.com/static/fonts/revicons/revicons90c6.eot	(from https://www.makerbean.com/static/css/revolution/rs6.css)
14:25:36	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%225dfdb6da-1d70%22	https://www.makerbean.com/static/fonts/revicons/revicons.woff?5510888	/root/websites/makerbean/www.makerbean.com/static/fonts/revicons/revicons90c6.woff	(from https://www.makerbean.com/static/css/revolution/rs6.css)
14:25:37	11968/11968	---M--	200	added ('OK')	application/octet-stream	etag:%225dfdb6da-2ec0%22	https://www.makerbean.com/static/fonts/revicons/revicons.ttf?5510888	/root/websites/makerbean/www.makerbean.com/static/fonts/revicons/revicons90c6.ttf	(from https://www.makerbean.com/static/css/revolution/rs6.css)
14:25:38	13691/13691	---M--	200	added ('OK')	image/svg+xml	etag:%225dfdb6da-357b%22	https://www.makerbean.com/static/fonts/revicons/revicons.svg?5510888	/root/websites/makerbean/www.makerbean.com/static/fonts/revicons/revicons90c6.svg	(from https://www.makerbean.com/static/css/revolution/rs6.css)
14:25:39	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:38%20GMT	https://www.makerbean.com/static/css/revolution/openhand.cur	/root/websites/makerbean/www.makerbean.com/static/css/revolution/openhand.cur	(from https://www.makerbean.com/static/css/revolution/rs6.css)
14:25:40	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:39%20GMT	https://www.makerbean.com/static/css/revolution/closedhand.cur	/root/websites/makerbean/www.makerbean.com/static/css/revolution/closedhand.cur	(from https://www.makerbean.com/static/css/revolution/rs6.css)
14:25:41	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:40%20GMT	https://www.makerbean.com/static/css/assets/gridtile.png	/root/websites/makerbean/www.makerbean.com/static/css/assets/gridtile.png	(from https://www.makerbean.com/static/css/revolution/rs6.css)
14:25:42	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Oct%202021%2006:25:41%20GMT	https://www.makerbean.com/static/css/assets/gridtile_white.png	/root/websites/makerbean/www.makerbean.com/static/css/assets/gridtile_white.png	(from https://www.makerbean.com/static/css/revolution/rs6.css)
